date,count,package
2020-08-01,66,palmerpenguins
2020-08-02,62,palmerpenguins
2020-08-03,80,palmerpenguins
2020-08-04,97,palmerpenguins
2020-08-05,68,palmerpenguins
2020-08-06,83,palmerpenguins
2020-08-07,96,palmerpenguins
2020-08-08,60,palmerpenguins
2020-08-09,35,palmerpenguins
2020-08-10,65,palmerpenguins
2020-08-11,70,palmerpenguins
2020-08-12,85,palmerpenguins
2020-08-13,61,palmerpenguins
2020-08-14,44,palmerpenguins
2020-08-15,28,palmerpenguins
2020-08-16,22,palmerpenguins
2020-08-17,127,palmerpenguins
2020-08-18,74,palmerpenguins
2020-08-19,121,palmerpenguins
2020-08-20,154,palmerpenguins
2020-08-21,63,palmerpenguins
2020-08-22,43,palmerpenguins
2020-08-23,42,palmerpenguins
2020-08-24,73,palmerpenguins
2020-08-25,78,palmerpenguins
2020-08-26,80,palmerpenguins
2020-08-27,114,palmerpenguins
2020-08-28,87,palmerpenguins
2020-08-29,72,palmerpenguins
2020-08-30,44,palmerpenguins
2020-08-31,101,palmerpenguins
2020-09-01,135,palmerpenguins
2020-09-02,164,palmerpenguins
2020-09-03,296,palmerpenguins
2020-09-04,146,palmerpenguins
2020-09-05,70,palmerpenguins
2020-09-06,68,palmerpenguins
2020-09-07,81,palmerpenguins
2020-09-08,171,palmerpenguins
2020-09-09,234,palmerpenguins
2020-09-10,282,palmerpenguins
2020-09-11,197,palmerpenguins
2020-09-12,102,palmerpenguins
2020-09-13,153,palmerpenguins
2020-09-14,204,palmerpenguins
2020-09-15,749,palmerpenguins
2020-09-16,418,palmerpenguins
2020-09-17,374,palmerpenguins
2020-09-18,308,palmerpenguins
2020-09-19,251,palmerpenguins
2020-09-20,207,palmerpenguins
2020-09-21,267,palmerpenguins
2020-09-22,423,palmerpenguins
2020-09-23,794,palmerpenguins
2020-09-24,369,palmerpenguins
2020-09-25,422,palmerpenguins
2020-09-26,214,palmerpenguins
2020-09-27,331,palmerpenguins
2020-09-28,375,palmerpenguins
2020-09-29,324,palmerpenguins
2020-09-30,358,palmerpenguins
2020-10-01,325,palmerpenguins
2020-10-02,304,palmerpenguins
2020-10-03,205,palmerpenguins
2020-10-04,327,palmerpenguins
2020-10-05,352,palmerpenguins
2020-10-06,612,palmerpenguins
2020-10-07,518,palmerpenguins
2020-10-08,696,palmerpenguins
2020-10-09,420,palmerpenguins
2020-10-10,172,palmerpenguins
2020-10-11,185,palmerpenguins
2020-10-12,360,palmerpenguins
2020-10-13,534,palmerpenguins
2020-10-14,255,palmerpenguins
2020-10-15,339,palmerpenguins
2020-10-16,360,palmerpenguins
2020-10-17,135,palmerpenguins
2020-10-18,165,palmerpenguins
2020-10-19,359,palmerpenguins
2020-10-20,335,palmerpenguins
2020-10-21,329,palmerpenguins
2020-10-22,308,palmerpenguins
2020-10-23,240,palmerpenguins
2020-10-24,218,palmerpenguins
2020-10-25,189,palmerpenguins
2020-10-26,344,palmerpenguins
2020-10-27,282,palmerpenguins
2020-10-28,247,palmerpenguins
2020-10-29,306,palmerpenguins
2020-10-30,298,palmerpenguins
2020-10-31,188,palmerpenguins
2020-11-01,182,palmerpenguins
2020-11-02,307,palmerpenguins
2020-11-03,339,palmerpenguins
2020-11-04,263,palmerpenguins
2020-11-05,211,palmerpenguins
2020-11-06,254,palmerpenguins
2020-11-07,131,palmerpenguins
2020-11-08,145,palmerpenguins
2020-11-09,286,palmerpenguins
2020-11-10,414,palmerpenguins
2020-11-11,499,palmerpenguins
2020-11-12,466,palmerpenguins
2020-11-13,343,palmerpenguins
2020-11-14,189,palmerpenguins
2020-11-15,258,palmerpenguins
2020-11-16,384,palmerpenguins
2020-11-17,429,palmerpenguins
2020-11-18,281,palmerpenguins
2020-11-19,286,palmerpenguins
2020-11-20,292,palmerpenguins
2020-11-21,126,palmerpenguins
2020-11-22,150,palmerpenguins
2020-11-23,297,palmerpenguins
2020-11-24,373,palmerpenguins
2020-11-25,186,palmerpenguins
2020-11-26,205,palmerpenguins
2020-11-27,153,palmerpenguins
2020-11-28,120,palmerpenguins
2020-11-29,143,palmerpenguins
2020-11-30,338,palmerpenguins
2020-12-01,453,palmerpenguins
2020-12-02,384,palmerpenguins
2020-12-03,372,palmerpenguins
2020-12-04,353,palmerpenguins
2020-12-05,126,palmerpenguins
2020-12-06,151,palmerpenguins
2020-12-07,274,palmerpenguins
2020-12-08,358,palmerpenguins
2020-12-09,428,palmerpenguins
2020-12-10,355,palmerpenguins
2020-12-11,331,palmerpenguins
2020-12-12,144,palmerpenguins
2020-12-13,214,palmerpenguins
2020-12-14,276,palmerpenguins
2020-12-15,389,palmerpenguins
2020-12-16,279,palmerpenguins
2020-12-17,287,palmerpenguins
2020-12-18,167,palmerpenguins
2020-12-19,95,palmerpenguins
2020-12-20,96,palmerpenguins
2020-12-21,229,palmerpenguins
2020-12-22,213,palmerpenguins
2020-12-23,101,palmerpenguins
2020-12-24,136,palmerpenguins
2020-12-25,57,palmerpenguins
2020-12-26,152,palmerpenguins
2020-12-27,161,palmerpenguins
2020-12-28,109,palmerpenguins
2020-12-29,116,palmerpenguins
2020-12-30,132,palmerpenguins
2020-12-31,110,palmerpenguins
2021-01-01,55,palmerpenguins
2021-01-02,82,palmerpenguins
2021-01-03,159,palmerpenguins
2021-01-04,203,palmerpenguins
2021-01-05,291,palmerpenguins
2021-01-06,211,palmerpenguins
2021-01-07,191,palmerpenguins
2021-01-08,255,palmerpenguins
2021-01-09,136,palmerpenguins
2021-01-10,256,palmerpenguins
2021-01-11,540,palmerpenguins
2021-01-12,974,palmerpenguins
2021-01-13,1086,palmerpenguins
2021-01-14,476,palmerpenguins
2021-01-15,390,palmerpenguins
2021-01-16,387,palmerpenguins
2021-01-17,353,palmerpenguins
2021-01-18,629,palmerpenguins
2021-01-19,911,palmerpenguins
2021-01-20,345,palmerpenguins
2021-01-21,507,palmerpenguins
2021-01-22,454,palmerpenguins
2021-01-23,297,palmerpenguins
2021-01-24,308,palmerpenguins
2021-01-25,480,palmerpenguins
2021-01-26,455,palmerpenguins
2021-01-27,459,palmerpenguins
2021-01-28,745,palmerpenguins
2021-01-29,644,palmerpenguins
2021-01-30,441,palmerpenguins
2021-01-31,354,palmerpenguins
2021-02-01,897,palmerpenguins
2021-02-02,684,palmerpenguins
2021-02-03,693,palmerpenguins
2021-02-04,564,palmerpenguins
2021-02-05,639,palmerpenguins
2021-02-06,267,palmerpenguins
2021-02-07,329,palmerpenguins
2021-02-08,646,palmerpenguins
2021-02-09,546,palmerpenguins
2021-02-10,533,palmerpenguins
2021-02-11,555,palmerpenguins
2021-02-12,536,palmerpenguins
2021-02-13,278,palmerpenguins
2021-02-14,259,palmerpenguins
2021-02-15,440,palmerpenguins
2021-02-16,524,palmerpenguins
2021-02-17,464,palmerpenguins
2021-02-18,591,palmerpenguins
2021-02-19,421,palmerpenguins
2021-02-20,221,palmerpenguins
2021-02-21,243,palmerpenguins
2021-02-22,512,palmerpenguins
2021-02-23,692,palmerpenguins
2021-02-24,690,palmerpenguins
2021-02-25,624,palmerpenguins
2021-02-26,545,palmerpenguins
2021-02-27,341,palmerpenguins
2021-02-28,284,palmerpenguins
2021-03-01,797,palmerpenguins
2021-03-02,574,palmerpenguins
2021-03-03,558,palmerpenguins
2021-03-04,528,palmerpenguins
2021-03-05,650,palmerpenguins
2021-03-06,598,palmerpenguins
2021-03-07,648,palmerpenguins
2021-03-08,1224,palmerpenguins
2021-03-09,759,palmerpenguins
2021-03-10,943,palmerpenguins
2021-03-11,1053,palmerpenguins
2021-03-12,920,palmerpenguins
2021-03-13,552,palmerpenguins
2021-03-14,579,palmerpenguins
2021-03-15,899,palmerpenguins
2021-03-16,844,palmerpenguins
2021-03-17,777,palmerpenguins
2021-03-18,826,palmerpenguins
2021-03-19,725,palmerpenguins
2021-03-20,524,palmerpenguins
2021-03-21,564,palmerpenguins
2021-03-22,794,palmerpenguins
2021-03-23,766,palmerpenguins
2021-03-24,782,palmerpenguins
2021-03-25,891,palmerpenguins
2021-03-26,753,palmerpenguins
2021-03-27,469,palmerpenguins
2021-03-28,560,palmerpenguins
2021-03-29,785,palmerpenguins
2021-03-30,838,palmerpenguins
2021-03-31,803,palmerpenguins
2021-04-01,697,palmerpenguins
2021-04-02,541,palmerpenguins
2021-04-03,421,palmerpenguins
2021-04-04,377,palmerpenguins
2021-04-05,629,palmerpenguins
2021-04-06,704,palmerpenguins
2021-04-07,730,palmerpenguins
2021-04-08,919,palmerpenguins
2021-04-09,697,palmerpenguins
2021-04-10,497,palmerpenguins
2021-04-11,463,palmerpenguins
2021-04-12,707,palmerpenguins
2021-04-13,679,palmerpenguins
2021-04-14,820,palmerpenguins
2021-04-15,852,palmerpenguins
2021-04-16,782,palmerpenguins
2021-04-17,556,palmerpenguins
2021-04-18,613,palmerpenguins
2021-04-19,795,palmerpenguins
2021-04-20,850,palmerpenguins
2021-04-21,832,palmerpenguins
2021-04-22,935,palmerpenguins
2021-04-23,800,palmerpenguins
2021-04-24,632,palmerpenguins
2021-04-25,549,palmerpenguins
2021-04-26,849,palmerpenguins
2021-04-27,825,palmerpenguins
2021-04-28,820,palmerpenguins
2021-04-29,749,palmerpenguins
2021-04-30,754,palmerpenguins
2021-05-01,432,palmerpenguins
2021-05-02,462,palmerpenguins
2021-05-03,660,palmerpenguins
2021-05-04,784,palmerpenguins
2021-05-05,774,palmerpenguins
2021-05-06,789,palmerpenguins
2021-05-07,800,palmerpenguins
2021-05-08,610,palmerpenguins
2021-05-09,525,palmerpenguins
2021-05-10,677,palmerpenguins
2021-05-11,692,palmerpenguins
2021-05-12,837,palmerpenguins
2021-05-13,773,palmerpenguins
2021-05-14,690,palmerpenguins
2021-05-15,504,palmerpenguins
2021-05-16,629,palmerpenguins
2021-05-17,917,palmerpenguins
2021-05-18,879,palmerpenguins
2021-05-19,1062,palmerpenguins
2021-05-20,1005,palmerpenguins
2021-05-21,869,palmerpenguins
2021-05-22,527,palmerpenguins
2021-05-23,539,palmerpenguins
2021-05-24,826,palmerpenguins
2021-05-25,897,palmerpenguins
2021-05-26,836,palmerpenguins
2021-05-27,738,palmerpenguins
2021-05-28,697,palmerpenguins
2021-05-29,586,palmerpenguins
2021-05-30,531,palmerpenguins
2021-05-31,743,palmerpenguins
2021-06-01,918,palmerpenguins
2021-06-02,773,palmerpenguins
2021-06-03,791,palmerpenguins
2021-06-04,714,palmerpenguins
2021-06-05,543,palmerpenguins
2021-06-06,488,palmerpenguins
2021-06-07,767,palmerpenguins
2021-06-08,898,palmerpenguins
2021-06-09,744,palmerpenguins
2021-06-10,830,palmerpenguins
2021-06-11,737,palmerpenguins
2021-06-12,515,palmerpenguins
2021-06-13,596,palmerpenguins
2021-06-14,814,palmerpenguins
2021-06-15,939,palmerpenguins
2021-06-16,839,palmerpenguins
2021-06-17,784,palmerpenguins
2021-06-18,674,palmerpenguins
2021-06-19,551,palmerpenguins
2021-06-20,596,palmerpenguins
2021-06-21,812,palmerpenguins
2021-06-22,1088,palmerpenguins
2021-06-23,974,palmerpenguins
2021-06-24,855,palmerpenguins
2021-06-25,777,palmerpenguins
2021-06-26,608,palmerpenguins
2021-06-27,765,palmerpenguins
2021-06-28,980,palmerpenguins
2021-06-29,812,palmerpenguins
2021-06-30,811,palmerpenguins
2021-07-01,844,palmerpenguins
2021-07-02,686,palmerpenguins
2021-07-03,675,palmerpenguins
2021-07-04,684,palmerpenguins
2021-07-05,803,palmerpenguins
2021-07-06,907,palmerpenguins
2021-07-07,967,palmerpenguins
2021-07-08,859,palmerpenguins
2021-07-09,763,palmerpenguins
2021-07-10,577,palmerpenguins
2021-07-11,500,palmerpenguins
2021-07-12,1020,palmerpenguins
2021-07-13,906,palmerpenguins
2021-07-14,853,palmerpenguins
2021-07-15,949,palmerpenguins
2021-07-16,671,palmerpenguins
2021-07-17,496,palmerpenguins
2021-07-18,569,palmerpenguins
2021-07-19,800,palmerpenguins
2021-07-20,872,palmerpenguins
2021-07-21,1024,palmerpenguins
2021-07-22,961,palmerpenguins
2021-07-23,784,palmerpenguins
2021-07-24,572,palmerpenguins
2021-07-25,644,palmerpenguins
2021-07-26,1290,palmerpenguins
2021-07-27,1106,palmerpenguins
2021-07-28,880,palmerpenguins
2021-07-29,813,palmerpenguins
2021-07-30,849,palmerpenguins
2021-07-31,596,palmerpenguins
2021-08-01,647,palmerpenguins
2021-08-02,886,palmerpenguins
2021-08-03,889,palmerpenguins
2021-08-04,1008,palmerpenguins
2021-08-05,916,palmerpenguins
2021-08-06,745,palmerpenguins
2021-08-07,461,palmerpenguins
2021-08-08,579,palmerpenguins
2021-08-09,1279,palmerpenguins
2021-08-10,1146,palmerpenguins
2021-08-11,989,palmerpenguins
2021-08-12,931,palmerpenguins
2021-08-13,750,palmerpenguins
2021-08-14,468,palmerpenguins
2021-08-15,460,palmerpenguins
2021-08-16,859,palmerpenguins
2021-08-17,746,palmerpenguins
2021-08-18,651,palmerpenguins
2021-08-19,752,palmerpenguins
2021-08-20,755,palmerpenguins
2021-08-21,405,palmerpenguins
2021-08-22,495,palmerpenguins
2021-08-23,813,palmerpenguins
2021-08-24,720,palmerpenguins
2021-08-25,928,palmerpenguins
2021-08-26,808,palmerpenguins
2021-08-27,753,palmerpenguins
2021-08-28,449,palmerpenguins
2021-08-29,425,palmerpenguins
2021-08-30,957,palmerpenguins
2021-08-31,966,palmerpenguins
2021-09-01,799,palmerpenguins
2021-09-02,1113,palmerpenguins
2021-09-03,828,palmerpenguins
2021-09-04,535,palmerpenguins
2021-09-05,564,palmerpenguins
2021-09-06,1055,palmerpenguins
2021-09-07,1029,palmerpenguins
2021-09-08,1097,palmerpenguins
2021-09-09,1537,palmerpenguins
2021-09-10,1119,palmerpenguins
2021-09-11,619,palmerpenguins
2021-09-12,584,palmerpenguins
2021-09-13,1815,palmerpenguins
2021-09-14,1279,palmerpenguins
2021-09-15,1169,palmerpenguins
2021-09-16,1135,palmerpenguins
2021-09-17,884,palmerpenguins
2021-09-18,612,palmerpenguins
2021-09-19,529,palmerpenguins
2021-09-20,1152,palmerpenguins
2021-09-21,1080,palmerpenguins
2021-09-22,1110,palmerpenguins
2021-09-23,1346,palmerpenguins
2021-09-24,955,palmerpenguins
2021-09-25,575,palmerpenguins
2021-09-26,647,palmerpenguins
2021-09-27,938,palmerpenguins
2021-09-28,1058,palmerpenguins
2021-09-29,1347,palmerpenguins
2021-09-30,1258,palmerpenguins
2021-10-01,974,palmerpenguins
2021-10-02,530,palmerpenguins
2021-10-03,532,palmerpenguins
2021-10-04,1023,palmerpenguins
2021-10-05,1268,palmerpenguins
2021-10-06,1140,palmerpenguins
2021-10-07,1111,palmerpenguins
2021-10-08,1033,palmerpenguins
2021-10-09,536,palmerpenguins
2021-10-10,570,palmerpenguins
2021-10-11,950,palmerpenguins
2021-10-12,1056,palmerpenguins
2021-10-13,1075,palmerpenguins
2021-10-14,937,palmerpenguins
2021-10-15,853,palmerpenguins
2021-10-16,460,palmerpenguins
2021-10-17,476,palmerpenguins
2021-10-18,1045,palmerpenguins
2021-10-19,1005,palmerpenguins
2021-10-20,895,palmerpenguins
2021-10-21,983,palmerpenguins
2021-10-22,933,palmerpenguins
2021-10-23,591,palmerpenguins
2021-10-24,606,palmerpenguins
2021-10-25,940,palmerpenguins
2021-10-26,1239,palmerpenguins
2021-10-27,1185,palmerpenguins
2021-10-28,949,palmerpenguins
2021-10-29,964,palmerpenguins
2021-10-30,455,palmerpenguins
2021-10-31,520,palmerpenguins
2021-11-01,958,palmerpenguins
2021-11-02,999,palmerpenguins
2021-11-03,966,palmerpenguins
2021-11-04,915,palmerpenguins
2021-11-05,885,palmerpenguins
2021-11-06,493,palmerpenguins
2021-11-07,495,palmerpenguins
2021-11-08,1181,palmerpenguins
2021-11-09,1015,palmerpenguins
2021-11-10,1370,palmerpenguins
2021-11-11,1131,palmerpenguins
2021-11-12,926,palmerpenguins
2021-11-13,637,palmerpenguins
2021-11-14,588,palmerpenguins
2021-11-15,1184,palmerpenguins
2021-11-16,1088,palmerpenguins
2021-11-17,1107,palmerpenguins
2021-11-18,987,palmerpenguins
2021-11-19,910,palmerpenguins
2021-11-20,518,palmerpenguins
2021-11-21,572,palmerpenguins
2021-11-22,930,palmerpenguins
2021-11-23,1091,palmerpenguins
2021-11-24,820,palmerpenguins
2021-11-25,799,palmerpenguins
2021-11-26,686,palmerpenguins
2021-11-27,548,palmerpenguins
2021-11-28,471,palmerpenguins
2021-11-29,789,palmerpenguins
2021-11-30,979,palmerpenguins
2021-12-01,911,palmerpenguins
2021-12-02,743,palmerpenguins
2021-12-03,925,palmerpenguins
2021-12-04,510,palmerpenguins
2021-12-05,486,palmerpenguins
2021-12-06,777,palmerpenguins
2021-12-07,907,palmerpenguins
2021-12-08,727,palmerpenguins
2021-12-09,826,palmerpenguins
2021-12-10,772,palmerpenguins
2021-12-11,542,palmerpenguins
2021-12-12,476,palmerpenguins
2021-12-13,740,palmerpenguins
2021-12-14,820,palmerpenguins
2021-12-15,680,palmerpenguins
2021-12-16,693,palmerpenguins
2021-12-17,818,palmerpenguins
2021-12-18,644,palmerpenguins
2021-12-19,559,palmerpenguins
2021-12-20,965,palmerpenguins
2021-12-21,880,palmerpenguins
2021-12-22,787,palmerpenguins
2021-12-23,630,palmerpenguins
2021-12-24,494,palmerpenguins
2021-12-25,384,palmerpenguins
2021-12-26,370,palmerpenguins
2021-12-27,578,palmerpenguins
2021-12-28,729,palmerpenguins
2021-12-29,699,palmerpenguins
2021-12-30,572,palmerpenguins
2021-12-31,424,palmerpenguins
2022-01-01,339,palmerpenguins
2022-01-02,387,palmerpenguins
2022-01-03,744,palmerpenguins
2022-01-04,969,palmerpenguins
2022-01-05,866,palmerpenguins
2022-01-06,938,palmerpenguins
2022-01-07,1153,palmerpenguins
2022-01-08,553,palmerpenguins
2022-01-09,603,palmerpenguins
2022-01-10,912,palmerpenguins
2022-01-11,1386,palmerpenguins
2022-01-12,1521,palmerpenguins
2022-01-13,1857,palmerpenguins
2022-01-14,1300,palmerpenguins
2022-01-15,633,palmerpenguins
2022-01-16,565,palmerpenguins
2022-01-17,1095,palmerpenguins
2022-01-18,1569,palmerpenguins
2022-01-19,1443,palmerpenguins
2022-01-20,1262,palmerpenguins
2022-01-21,1166,palmerpenguins
2022-01-22,852,palmerpenguins
2022-01-23,775,palmerpenguins
2022-01-24,1359,palmerpenguins
2022-01-25,1627,palmerpenguins
2022-01-26,1952,palmerpenguins
2022-01-27,1433,palmerpenguins
2022-01-28,1251,palmerpenguins
2022-01-29,599,palmerpenguins
2022-01-30,631,palmerpenguins
2022-01-31,1017,palmerpenguins
2022-02-01,1374,palmerpenguins
2022-02-02,1202,palmerpenguins
2022-02-03,1216,palmerpenguins
2022-02-04,1001,palmerpenguins
2022-02-05,759,palmerpenguins
2022-02-06,610,palmerpenguins
2022-02-07,1404,palmerpenguins
2022-02-08,1173,palmerpenguins
2022-02-09,1352,palmerpenguins
2022-02-10,1113,palmerpenguins
2022-02-11,1116,palmerpenguins
2022-02-12,535,palmerpenguins
2022-02-13,522,palmerpenguins
2022-02-14,1180,palmerpenguins
2022-02-15,1131,palmerpenguins
2022-02-16,1279,palmerpenguins
2022-02-17,1494,palmerpenguins
2022-02-18,1046,palmerpenguins
2022-02-19,594,palmerpenguins
2022-02-20,621,palmerpenguins
2022-02-21,1073,palmerpenguins
2022-02-22,1219,palmerpenguins
2022-02-23,1344,palmerpenguins
2022-02-24,1139,palmerpenguins
2022-02-25,1028,palmerpenguins
2022-02-26,534,palmerpenguins
2022-02-27,600,palmerpenguins
2022-02-28,974,palmerpenguins
2022-03-01,1331,palmerpenguins
2022-03-02,1401,palmerpenguins
2022-03-03,1230,palmerpenguins
2022-03-04,1011,palmerpenguins
2022-03-05,615,palmerpenguins
2022-03-06,832,palmerpenguins
2022-03-07,1336,palmerpenguins
2022-03-08,1198,palmerpenguins
2022-03-09,1348,palmerpenguins
2022-03-10,1212,palmerpenguins
2022-03-11,1113,palmerpenguins
2022-03-12,630,palmerpenguins
2022-03-13,641,palmerpenguins
2022-03-14,1022,palmerpenguins
2022-03-15,979,palmerpenguins
2022-03-16,1159,palmerpenguins
2022-03-17,1141,palmerpenguins
2022-03-18,1099,palmerpenguins
2022-03-19,703,palmerpenguins
2022-03-20,739,palmerpenguins
2022-03-21,1237,palmerpenguins
2022-03-22,1297,palmerpenguins
2022-03-23,1375,palmerpenguins
2022-03-24,1361,palmerpenguins
2022-03-25,1206,palmerpenguins
2022-03-26,758,palmerpenguins
2022-03-27,825,palmerpenguins
2022-03-28,1239,palmerpenguins
2022-03-29,1236,palmerpenguins
2022-03-30,1311,palmerpenguins
2022-03-31,1449,palmerpenguins
2022-04-01,1222,palmerpenguins
2022-04-02,607,palmerpenguins
2022-04-03,695,palmerpenguins
2022-04-04,1148,palmerpenguins
2022-04-05,1310,palmerpenguins
2022-04-06,1234,palmerpenguins
2022-04-07,1206,palmerpenguins
2022-04-08,1108,palmerpenguins
2022-04-09,598,palmerpenguins
2022-04-10,610,palmerpenguins
2022-04-11,1102,palmerpenguins
2022-04-12,1403,palmerpenguins
2022-04-13,1275,palmerpenguins
2022-04-14,1081,palmerpenguins
2022-04-15,845,palmerpenguins
2022-04-16,565,palmerpenguins
2022-04-17,517,palmerpenguins
2022-04-18,1045,palmerpenguins
2022-04-19,1180,palmerpenguins
2022-04-20,1244,palmerpenguins
2022-04-21,1161,palmerpenguins
2022-04-22,1175,palmerpenguins
2022-04-23,703,palmerpenguins
2022-04-24,687,palmerpenguins
2022-04-25,1240,palmerpenguins
2022-04-26,1290,palmerpenguins
